"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"27 de jul. de 2020","5,1447","5,2332","5,2332","5,1410","93,03K","-1,69%"
"24 de jul. de 2020","5,2329","5,2127","5,2533","5,1596","131,85K","0,42%"
"23 de jul. de 2020","5,2112","5,1191","5,2262","5,1188","137,93K","1,85%"
"22 de jul. de 2020","5,1166","5,1707","5,2028","5,0827","108,58K","-1,06%"
"21 de jul. de 2020","5,1713","5,3291","5,3291","5,1647","120,19K","-2,95%"
"20 de jul. de 2020","5,3283","5,3870","5,3913","5,3269","92,53K","-1,05%"
"17 de jul. de 2020","5,3849","5,3243","5,3923","5,3155","85,14K","1,01%"
"16 de jul. de 2020","5,3311","5,3697","5,3928","5,3064","105,74K","-0,72%"
"15 de jul. de 2020","5,3698","5,3096","5,3910","5,2917","111,15K","0,04%"
"14 de jul. de 2020","5,3674","5,4032","5,4542","5,3306","147,55K","-0,68%"
"13 de jul. de 2020","5,4040","5,3130","5,4098","5,3105","105,92K","1,51%"
"10 de jul. de 2020","5,3238","5,3390","5,3946","5,3128","123,63K","-0,33%"
"09 de jul. de 2020","5,3413","5,3450","5,3788","5,2450","135,24K","-0,02%"
"08 de jul. de 2020","5,3422","5,3840","5,3941","5,3178","120,12K","-0,68%"
"07 de jul. de 2020","5,3790","5,3559","5,4017","5,2880","110,18K","0,43%"
"06 de jul. de 2020","5,3562","5,3150","5,3592","5,2609","93,06K","0,76%"
"03 de jul. de 2020","5,3158","5,3523","5,3807","5,3047","67,23K","-0,82%"
"02 de jul. de 2020","5,3596","5,3185","5,3752","5,2656","113,98K","0,79%"
"01 de jul. de 2020","5,3174","5,4660","5,4763","5,2985","101,37K","-2,72%"
"30 de jun. de 2020","5,4661","5,4005","5,5082","5,4005","106,56K","1,16%"
"29 de jun. de 2020","5,4034","5,4847","5,4847","5,3892","123,46K","-1,47%"
"26 de jun. de 2020","5,4840","5,3608","5,4931","5,3608","134,75K","2,39%"
"25 de jun. de 2020","5,3561","5,3476","5,3802","5,2663","139,70K","0,18%"
"24 de jun. de 2020","5,3467","5,1525","5,3549","5,1525","141,75K","3,73%"
"23 de jun. de 2020","5,1542","5,2524","5,2537","5,1336","103,45K","-1,87%"
"22 de jun. de 2020","5,2524","5,2904","5,2968","5,1972","110,56K","-1,09%"
"19 de jun. de 2020","5,3105","5,3780","5,3821","5,2881","139,44K","-1,25%"
"18 de jun. de 2020","5,3776","5,2291","5,3884","5,2277","136,42K","2,85%"
"17 de jun. de 2020","5,2286","5,2446","5,2716","5,1814","131,61K","-0,27%"
"16 de jun. de 2020","5,2430","5,1173","5,2549","5,0477","177,79K","1,69%"
"15 de jun. de 2020","5,1557","5,1314","5,2260","5,0786","162,46K","2,08%"
"12 de jun. de 2020","5,0505","4,9774","5,1118","4,9765","176,63K","1,50%"
"11 de jun. de 2020","4,9760","4,9740","4,9765","4,9740","0,00K","0,06%"
"10 de jun. de 2020","4,9732","4,9000","4,9789","4,8380","135,72K","1,51%"
"09 de jun. de 2020","4,8992","4,8229","4,9359","4,8229","112,82K","1,58%"
"08 de jun. de 2020","4,8230","4,9619","4,9774","4,8175","102,97K","-2,73%"
"05 de jun. de 2020","4,9585","5,1186","5,1196","4,9328","119,45K","-3,14%"
"04 de jun. de 2020","5,1190","5,0624","5,1418","5,0244","130,19K","1,12%"
"03 de jun. de 2020","5,0622","5,2007","5,2109","5,0159","115,09K","-2,68%"
"02 de jun. de 2020","5,2014","5,3672","5,3700","5,1989","89,48K","-3,02%"
"01 de jun. de 2020","5,3633","5,3340","5,4196","5,3100","99,54K","0,51%"
"29 de mai. de 2020","5,3361","5,4049","5,4630","5,3190","119,11K","-1,27%"
"28 de mai. de 2020","5,4045","5,2743","5,4113","5,2743","105,35K","2,49%"
"27 de mai. de 2020","5,2733","5,3418","5,3610","5,2691","102,88K","-1,34%"
"26 de mai. de 2020","5,3450","5,4432","5,4432","5,3340","104,03K","-1,86%"
"25 de mai. de 2020","5,4461","5,4942","5,5301","5,4321","60,09K","-1,58%"
"22 de mai. de 2020","5,5338","5,5536","5,6256","5,5229","105,55K","-0,30%"
"21 de mai. de 2020","5,5507","5,6925","5,7062","5,5473","90,88K","-2,49%"
"20 de mai. de 2020","5,6925","5,7559","5,7572","5,6694","85,84K","-1,07%"
"19 de mai. de 2020","5,7540","5,7192","5,7687","5,6820","99,88K","0,61%"
"18 de mai. de 2020","5,7190","5,8565","5,8565","5,6942","82,46K","-2,33%"
"15 de mai. de 2020","5,8554","5,8110","5,8734","5,7590","118,18K","0,76%"
"14 de mai. de 2020","5,8115","5,9248","5,9718","5,8022","118,51K","-1,25%"
"13 de mai. de 2020","5,8852","5,8863","5,9440","5,8176","95,62K","-0,01%"
"12 de mai. de 2020","5,8856","5,8190","5,8949","5,7420","82,42K","1,16%"
"11 de mai. de 2020","5,8180","5,7825","5,8404","5,7651","77,67K","1,50%"
"08 de mai. de 2020","5,7319","5,8123","5,8285","5,7178","86,98K","-1,69%"
"07 de mai. de 2020","5,8307","5,7158","5,8770","5,7158","103,44K","2,04%"
"06 de mai. de 2020","5,7140","5,5750","5,7235","5,5750","71,70K","2,43%"
"05 de mai. de 2020","5,5783","5,5424","5,6044","5,4818","82,01K","0,60%"
"04 de mai. de 2020","5,5450","5,6141","5,6143","5,5187","88,46K","1,08%"
"01 de mai. de 2020","5,4856","5,4861","5,4861","5,4861","","0,00%"
"30 de abr. de 2020","5,4858","5,3346","5,4875","5,3306","86,78K","2,83%"
"29 de abr. de 2020","5,3348","5,5019","5,5280","5,3340","97,77K","-3,00%"
"28 de abr. de 2020","5,4999","5,6085","5,6221","5,4710","105,68K","-2,70%"
"27 de abr. de 2020","5,6526","5,5427","5,7260","5,5345","105,40K","1,11%"
"24 de abr. de 2020","5,5907","5,5339","5,7484","5,5339","121,53K","1,03%"
"23 de abr. de 2020","5,5335","5,4557","5,5567","5,4008","120,50K","1,38%"
"22 de abr. de 2020","5,4580","5,3184","5,4644","5,3028","86,28K","2,67%"
"21 de abr. de 2020","5,3163","5,3172","5,3176","5,3166","0,01K","-0,01%"
"20 de abr. de 2020","5,3168","5,2864","5,3201","5,2642","80,53K","1,54%"
"17 de abr. de 2020","5,2363","5,2341","5,2761","5,2066","84,20K","0,06%"
"16 de abr. de 2020","5,2333","5,2336","5,2683","5,2007","85,45K","-0,06%"
"15 de abr. de 2020","5,2367","5,2228","5,2684","5,2157","77,63K","1,45%"
"14 de abr. de 2020","5,1621","5,1811","5,2123","5,1484","77,50K","-0,72%"
"13 de abr. de 2020","5,1994","5,1219","5,2088","5,1038","72,28K","1,82%"
"10 de abr. de 2020","5,1063","5,1068","5,1068","5,1068","","-0,01%"
